Date,RF
20140404,0
20140411,0
20140417,0
20140425,0
20140502,0
20140509,0
20140516,0
20140523,0
20140530,0
20140606,0
20140613,0
20140620,0
20140627,0
20140703,0
20140711,0
20140718,0
20140725,0
20140801,0
20140808,0
20140815,0
20140822,0
20140829,0
20140905,0
20140912,0
20140919,0
20140926,0
20141003,0
20141010,0
20141017,0
20141024,0
20141031,0
20141107,0
20141114,0
20141121,0
20141128,0
20141205,0
20141212,0
20141219,0
20141226,0
20150102,0
20150109,0
20150116,0
20150123,0
20150130,0
20150206,0
20150213,0
20150220,0
20150227,0
20150306,0
20150313,0
20150320,0
20150327,0
20150402,0
20150410,0
20150417,0
20150424,0
20150501,0
20150508,0
20150515,0
20150522,0
20150529,0
20150605,0
20150612,0
20150619,0
20150626,0
20150702,0
20150710,0
20150717,0
20150724,0
20150731,0
20150807,0
20150814,0
20150821,0
20150828,0
20150904,0
20150911,0
20150918,0
20150925,0
20151002,0
20151009,0
20151016,0
20151023,0
20151030,0
20151106,0
20151113,0
20151120,0
20151127,0
20151204,0
20151211,0
20151218,0
20151224,0
20151231,0
20160108,0
20160115,0
20160122,0
20160129,0
20160205,0.01
20160212,0.01
20160219,0.01
20160226,0.01
20160304,0.01
20160311,0.01
20160318,0.01
20160324,0.01
20160401,0
20160408,0
20160415,0
20160422,0
20160429,0
20160506,0
20160513,0
20160520,0
20160527,0
20160603,0
20160610,0
20160617,0
20160624,0
20160701,0
20160708,0
20160715,0
20160722,0
20160729,0
20160805,0
20160812,0
20160819,0
20160826,0
20160902,0.01
20160909,0.01
20160916,0.01
20160923,0.01
20160930,0.01
20161007,0
20161014,0
20161021,0
20161028,0
20161104,0
20161111,0
20161118,0
20161125,0
20161202,0.01
20161209,0.01
20161216,0.01
20161223,0.01
20161230,0.01
20170106,0.01
20170113,0.01
20170120,0.01
20170127,0.01
20170203,0.01
20170210,0.01
20170217,0.01
20170224,0.01
20170303,0.01
20170310,0.01
20170317,0.01
20170324,0.01
20170331,0.01
20170407,0.01
20170413,0.01
20170421,0.01
20170428,0.01
20170505,0.02
20170512,0.02
20170519,0.02
20170526,0.02
20170602,0.02
20170609,0.02
20170616,0.02
20170623,0.02
20170630,0.02
20170707,0.02
20170714,0.02
20170721,0.02
20170728,0.02
20170804,0.02
20170811,0.02
20170818,0.02
20170825,0.02
20170901,0.02
20170908,0.02
20170915,0.02
20170922,0.02
20170929,0.02
20171006,0.02
20171013,0.02
20171020,0.02
20171027,0.02
20171103,0.02
20171110,0.02
20171117,0.02
20171124,0.02
20171201,0.02
20171208,0.02
20171215,0.02
20171222,0.02
20171229,0.02
20180105,0.03
20180112,0.03
20180119,0.03
20180126,0.03
20180202,0.03
20180209,0.03
20180216,0.03
20180223,0.03
20180302,0.03
20180309,0.03
20180316,0.03
20180323,0.03
20180329,0.03
20180406,0.04
20180413,0.04
20180420,0.04
20180427,0.04
20180504,0.04
20180511,0.04
20180518,0.04
20180525,0.04
20180601,0.03
20180608,0.03
20180615,0.03
20180622,0.03
20180629,0.03
20180706,0.04
20180713,0.04
20180720,0.04
20180727,0.04
20180803,0.04
20180810,0.04
20180817,0.04
20180824,0.04
20180831,0.04
20180907,0.04
20180914,0.04
20180921,0.04
20180928,0.04
20181005,0.05
20181012,0.05
20181019,0.05
20181026,0.05
20181102,0.04
20181109,0.04
20181116,0.04
20181123,0.04
20181130,0.04
20181207,0.05
20181214,0.05
20181221,0.05
20181228,0.05
20190104,0.05
20190111,0.05
20190118,0.05
20190125,0.05
20190201,0.05
20190208,0.05
20190215,0.05
20190222,0.05
20190301,0.05
20190308,0.05
20190315,0.05
20190322,0.05
20190329,0.05
20190405,0.05
20190412,0.05
20190418,0.05
20190426,0.05
20190503,0.05
20190510,0.05
20190517,0.05
20190524,0.05
20190531,0.05
20190607,0.04
20190614,0.04
20190621,0.04
20190628,0.04
20190705,0.05
20190712,0.05
20190719,0.05
20190726,0.05
20190802,0.04
20190809,0.04
20190816,0.04
20190823,0.04
20190830,0.04
20190906,0.04
20190913,0.04
20190920,0.04
20190927,0.04
20191004,0.04
20191011,0.04
20191018,0.04
20191025,0.04
20191101,0.03
20191108,0.03
20191115,0.03
20191122,0.03
20191129,0.03
20191206,0.03
20191213,0.03
20191220,0.03
20191227,0.03
20200103,0.03
20200110,0.03
20200117,0.03
20200124,0.03
20200131,0.03
20200207,0.03
20200214,0.03
20200221,0.03
20200228,0.03
20200306,0.03
20200313,0.03
20200320,0.03
20200327,0.03
20200403,0
20200409,0
20200417,0
20200424,0
20200501,0
20200508,0
20200515,0
20200522,0
20200529,0
20200605,0
20200612,0
20200619,0
20200626,0
20200702,0
20200710,0
20200717,0
20200724,0
20200731,0
20200807,0
20200814,0
20200821,0
20200828,0
20200904,0
20200911,0
20200918,0
20200925,0
20201002,0
20201009,0
20201016,0
20201023,0
20201030,0
20201106,0
20201113,0
20201120,0
20201127,0
20201204,0
20201211,0
20201218,0
20201224,0
20201231,0
20210108,0
20210115,0
20210122,0
20210129,0
20210205,0
20210212,0
20210219,0
20210226,0
20210305,0
20210312,0
20210319,0
20210326,0
20210401,0
20210409,0
20210416,0
20210423,0
20210430,0
20210507,0
20210514,0
20210521,0
20210528,0
20210604,0
20210611,0
20210618,0
20210625,0
20210702,0
20210709,0
20210716,0
20210723,0
20210730,0
20210806,0
20210813,0
20210820,0
20210827,0
20210903,0
20210910,0
20210917,0
20210924,0
20211001,0
20211008,0
20211015,0
20211022,0
20211029,0
20211105,0
20211112,0
20211119,0
20211126,0
20211203,0
20211210,0
20211217,0
20211223,0
20211231,0
20220107,0
20220114,0
20220121,0
20220128,0
20220204,0
20220211,0
20220218,0
20220225,0
20220304,0
20220311,0
20220318,0
20220325,0
20220401,0
20220408,0
20220414,0
20220422,0
20220429,0
20220506,0.01
20220513,0.01
20220520,0.01
20220527,0.01
20220603,0.01
20220610,0.01
20220617,0.01
20220624,0.01
20220701,0.02
20220708,0.02
20220715,0.02
20220722,0.02
20220729,0.02
20220805,0.05
20220812,0.05
20220819,0.05
20220826,0.05
20220902,0.05
20220909,0.05
20220916,0.05
20220923,0.05
20220930,0.05
20221007,0.06
20221014,0.06
20221021,0.06
20221028,0.06
20221104,0.07
20221111,0.07
20221118,0.07
20221125,0.07
20221202,0.08
20221209,0.08
20221216,0.08
20221223,0.08
20221230,0.08
20230106,0.09
20230113,0.09
20230120,0.09
20230127,0.09
20230203,0.09
20230210,0.09
20230217,0.09
20230224,0.09
20230303,0.09
20230310,0.09
20230317,0.09
20230324,0.09
20230331,0.09
20230406,0.09
20230414,0.09
20230421,0.09
20230428,0.09
20230505,0.09
20230512,0.09
20230519,0.09
20230526,0.09
20230602,0.1
20230609,0.1
20230616,0.1
20230623,0.1
20230630,0.1
20230707,0.11
20230714,0.11
20230721,0.11
20230728,0.11
20230804,0.11
20230811,0.11
20230818,0.11
20230825,0.11
20230901,0.11
20230908,0.11
20230915,0.11
20230922,0.11
20230929,0.11
20231006,0.12
20231013,0.12
20231020,0.12
20231027,0.12
20231103,0.11
20231110,0.11
20231117,0.11
20231124,0.11
20231201,0.11
20231208,0.11
20231215,0.11
20231222,0.11
20231229,0.11
